condition,family,language_code,task,subset,split,role,examples,analysis_tokens
reranking,reranking,deu_Latn,WikipediaRerankingMultilingual,de,test,corpus:text,71,7336
reranking,reranking,deu_Latn,WikipediaRerankingMultilingual,de,test,queries:text,738,12660
reranking,reranking,eng_Latn,WebLINXCandidatesReranking,default,test_iid,queries:text,14,10090
reranking,reranking,eng_Latn,WikipediaRerankingMultilingual,en,test,corpus:text,36,4381
reranking,reranking,eng_Latn,WikipediaRerankingMultilingual,en,test,queries:text,339,5525
reranking,reranking,fra_Latn,AlloprofReranking,default,test,queries:text,397,19996
reranking,reranking,hin_Deva,WikipediaRerankingMultilingual,hi,test,corpus:text,70,9412
reranking,reranking,hin_Deva,WikipediaRerankingMultilingual,hi,test,queries:text,688,10587
reranking,reranking,ita_Latn,WikipediaRerankingMultilingual,it,test,corpus:text,64,6700
reranking,reranking,ita_Latn,WikipediaRerankingMultilingual,it,test,queries:text,777,13298
reranking,reranking,jpn_Jpan,VoyageMMarcoReranking,default,test,corpus:text,101,9836
reranking,reranking,jpn_Jpan,VoyageMMarcoReranking,default,test,queries:text,1013,10164
reranking,reranking,nld_Latn,WikipediaRerankingMultilingual,nl,test,corpus:text,86,7957
reranking,reranking,nld_Latn,WikipediaRerankingMultilingual,nl,test,queries:text,731,12042
reranking,reranking,por_Latn,WikipediaRerankingMultilingual,pt,test,corpus:text,64,7406
reranking,reranking,por_Latn,WikipediaRerankingMultilingual,pt,test,queries:text,743,12594
reranking,reranking,ron_Latn,WikipediaRerankingMultilingual,ro,test,corpus:text,83,7090
reranking,reranking,ron_Latn,WikipediaRerankingMultilingual,ro,test,queries:text,807,12906
reranking,reranking,rus_Cyrl,RuBQReranking,default,test,corpus:text,71,11084
reranking,reranking,rus_Cyrl,RuBQReranking,default,test,queries:text,777,8916
reranking,reranking,swe_Latn,WikipediaRerankingMultilingual,sv,test,corpus:text,95,9113
reranking,reranking,swe_Latn,WikipediaRerankingMultilingual,sv,test,queries:text,751,10886
reranking,reranking,zho_Hans,T2Reranking,default,dev,queries:text,2320,19999
retrieval,retrieval,arb_Arab,BelebeleRetrieval,arb_Arab,test,corpus,122,15752
retrieval,retrieval,arb_Arab,BelebeleRetrieval,arb_Arab,test,query,228,4247
retrieval,retrieval,deu_Latn,BelebeleRetrieval,deu_Latn,test,corpus,129,16186
retrieval,retrieval,deu_Latn,BelebeleRetrieval,deu_Latn,test,query,238,3811
retrieval,retrieval,eng_Latn,BelebeleRetrieval,eng_Latn,test,corpus,135,14883
retrieval,retrieval,eng_Latn,BelebeleRetrieval,eng_Latn,test,query,307,5111
retrieval,retrieval,fra_Latn,BelebeleRetrieval,fra_Latn,test,corpus,109,15455
retrieval,retrieval,fra_Latn,BelebeleRetrieval,fra_Latn,test,query,185,4543
retrieval,retrieval,guj_Gujr,BelebeleRetrieval,guj_Gujr,test,corpus,100,15516
retrieval,retrieval,guj_Gujr,BelebeleRetrieval,guj_Gujr,test,query,206,4480
retrieval,retrieval,hin_Deva,BelebeleRetrieval,hin_Deva,test,corpus,113,15837
retrieval,retrieval,hin_Deva,BelebeleRetrieval,hin_Deva,test,query,211,4160
retrieval,retrieval,hun_Latn,BelebeleRetrieval,hun_Latn,test,corpus,120,16244
retrieval,retrieval,hun_Latn,BelebeleRetrieval,hun_Latn,test,query,210,3751
retrieval,retrieval,ind_Latn,BelebeleRetrieval,ind_Latn,test,corpus,158,15914
retrieval,retrieval,ind_Latn,BelebeleRetrieval,ind_Latn,test,query,272,4086
retrieval,retrieval,ita_Latn,BelebeleRetrieval,ita_Latn,test,corpus,118,15852
retrieval,retrieval,ita_Latn,BelebeleRetrieval,ita_Latn,test,query,221,4148
retrieval,retrieval,jpn_Jpan,BelebeleRetrieval,jpn_Jpan,test,corpus,129,15786
retrieval,retrieval,jpn_Jpan,BelebeleRetrieval,jpn_Jpan,test,query,222,4211
retrieval,retrieval,kor_Hang,BelebeleRetrieval,kor_Hang,test,corpus,125,15919
retrieval,retrieval,kor_Hang,BelebeleRetrieval,kor_Hang,test,query,227,4081
retrieval,retrieval,nld_Latn,BelebeleRetrieval,nld_Latn,test,corpus,132,16067
retrieval,retrieval,nld_Latn,BelebeleRetrieval,nld_Latn,test,query,232,3933
retrieval,retrieval,pol_Latn,BelebeleRetrieval,pol_Latn,test,corpus,120,15270
retrieval,retrieval,pol_Latn,BelebeleRetrieval,pol_Latn,test,query,249,4730
retrieval,retrieval,por_Latn,BelebeleRetrieval,por_Latn,test,corpus,131,16125
retrieval,retrieval,por_Latn,BelebeleRetrieval,por_Latn,test,query,219,3873
retrieval,retrieval,ron_Latn,BelebeleRetrieval,ron_Latn,test,corpus,115,15131
retrieval,retrieval,ron_Latn,BelebeleRetrieval,ron_Latn,test,query,261,4867
retrieval,retrieval,rus_Cyrl,BelebeleRetrieval,rus_Cyrl,test,corpus,122,15608
retrieval,retrieval,rus_Cyrl,BelebeleRetrieval,rus_Cyrl,test,query,211,4389
retrieval,retrieval,spa_Latn,BelebeleRetrieval,spa_Latn,test,corpus,119,15739
retrieval,retrieval,spa_Latn,BelebeleRetrieval,spa_Latn,test,query,217,4259
retrieval,retrieval,swe_Latn,BelebeleRetrieval,swe_Latn,test,corpus,134,15991
retrieval,retrieval,swe_Latn,BelebeleRetrieval,swe_Latn,test,query,251,4006
retrieval,retrieval,tgl_Latn,BelebeleRetrieval,tgl_Latn,test,corpus,97,15752
retrieval,retrieval,tgl_Latn,BelebeleRetrieval,tgl_Latn,test,query,198,4243
retrieval,retrieval,tha_Thai,BelebeleRetrieval,tha_Thai,test,corpus,136,16174
retrieval,retrieval,tha_Thai,BelebeleRetrieval,tha_Thai,test,query,264,3826
retrieval,retrieval,tur_Latn,BelebeleRetrieval,tur_Latn,test,corpus,140,15713
retrieval,retrieval,tur_Latn,BelebeleRetrieval,tur_Latn,test,query,278,4284
retrieval,retrieval,vie_Latn,BelebeleRetrieval,vie_Latn,test,corpus,112,15645
retrieval,retrieval,vie_Latn,BelebeleRetrieval,vie_Latn,test,query,214,4351
retrieval,retrieval,zho_Hans,BelebeleRetrieval,zho_Hans,test,corpus,152,16053
retrieval,retrieval,zho_Hans,BelebeleRetrieval,zho_Hans,test,query,277,3946
retrieval,retrieval,zsm_Latn,BelebeleRetrieval,zsm_Latn,test,corpus,155,15999
retrieval,retrieval,zsm_Latn,BelebeleRetrieval,zsm_Latn,test,query,274,3999
sts,sts,arb_Arab,STS22.v2,ar,test,sentence1,5,554
sts,sts,arb_Arab,STS22.v2,ar,test,sentence2,5,2369
sts,sts,deu_Latn,STS22.v2,de,test,sentence1,5,2425
sts,sts,deu_Latn,STS22.v2,de,test,sentence2,2,519
sts,sts,eng_Latn,IndicCrosslingualSTS,en-gu,test,sentence1,34,556
sts,sts,eng_Latn,STS17,nl-en,test,sentence2,44,458
sts,sts,eng_Latn,STS22.v2,en,test,sentence1,2,1890
sts,sts,eng_Latn,STS22.v2,en,test,sentence2,1,46
sts,sts,fra_Latn,STS22.v2,fr,test,sentence1,3,2020
sts,sts,fra_Latn,STS22.v2,fr,test,sentence2,2,912
sts,sts,guj_Gujr,IndicCrosslingualSTS,en-gu,test,sentence2,149,2949
sts,sts,hin_Deva,SemRel24STS,hin,test,sentence1,72,1652
sts,sts,hin_Deva,SemRel24STS,hin,test,sentence2,60,1299
sts,sts,ind_Latn,SemRel24STS,ind,test,sentence1,60,1186
sts,sts,ind_Latn,SemRel24STS,ind,test,sentence2,89,1765
sts,sts,ita_Latn,STS22.v2,it,test,sentence1,3,1147
sts,sts,ita_Latn,STS22.v2,it,test,sentence2,4,1785
sts,sts,jpn_Jpan,JSICK,default,test,sentence1,119,1632
sts,sts,jpn_Jpan,JSICK,default,test,sentence2,92,1317
sts,sts,kor_Hang,STS17,ko-ko,test,sentence1,89,1503
sts,sts,kor_Hang,STS17,ko-ko,test,sentence2,78,1448
sts,sts,nld_Latn,STS17,nl-en,test,sentence1,250,2951
sts,sts,pol_Latn,STS22.v2,pl,test,sentence1,5,2252
sts,sts,pol_Latn,STS22.v2,pl,test,sentence2,2,699
sts,sts,rus_Cyrl,STS22.v2,ru,test,sentence1,3,1736
sts,sts,rus_Cyrl,STS22.v2,ru,test,sentence2,5,1197
sts,sts,spa_Latn,STS22.v2,es,test,sentence1,2,1540
sts,sts,spa_Latn,STS22.v2,es,test,sentence2,5,1388
sts,sts,tur_Latn,STS22.v2,tr,test,sentence1,6,2943
sts,sts,zho_Hans,STS22.v2,zh,test,sentence1,4,2335
sts,sts,zho_Hans,STS22.v2,zh,test,sentence2,4,606
